Gene,Sequence,Last 10,Last 5,Last 2,Last 1
Q4W5N8_HUMAN,UniProt ID not found,,,,
AADAT_HUMAN,UniProt ID not found,,,,
AASS_HUMAN,UniProt ID not found,,,,
A4D0W4_HUMAN,UniProt ID not found,,,,
X5D8S1_HUMAN,UniProt ID not found,,,,
H3BNQ7_HUMAN,UniProt ID not found,,,,
H3BRN4_HUMAN,UniProt ID not found,,,,
X5D2Y3_HUMAN,UniProt ID not found,,,,
GABT_HUMAN,UniProt ID not found,,,,
HOT_HUMAN,UniProt ID not found,,,,
Q5XKL0_HUMAN,UniProt ID not found,,,,
ALKB1_HUMAN,UniProt ID not found,,,,
S4R3T5_HUMAN,UniProt ID not found,,,,
ALKB2_HUMAN,UniProt ID not found,,,,
E9PSA5_HUMAN,UniProt ID not found,,,,
ALKB3_HUMAN,UniProt ID not found,,,,
ALKB4_HUMAN,UniProt ID not found,,,,
ALKB5_HUMAN,UniProt ID not found,,,,
ALKB6_HUMAN,UniProt ID not found,,,,
ALKB7_HUMAN,UniProt ID not found,,,,
ALKB8_HUMAN,UniProt ID not found,,,,
ASPH_HUMAN,UniProt ID not found,,,,
ASPH2_HUMAN,UniProt ID not found,,,,
BODG_HUMAN,UniProt ID not found,,,,
A0A087WYF2_HUMAN,UniProt ID not found,,,,
BCAT1_HUMAN,UniProt ID not found,,,,
M0QZ10_HUMAN,UniProt ID not found,,,,
B3KSI3_HUMAN,UniProt ID not found,,,,
M0QZP4_HUMAN,UniProt ID not found,,,,
M0QXF9_HUMAN,UniProt ID not found,,,,
BCAT2_HUMAN,UniProt ID not found,,,,
A8K563_HUMAN,UniProt ID not found,,,,
CISD1_HUMAN,UniProt ID not found,,,,
D2HDH_HUMAN,UniProt ID not found,,,,
OXDD_HUMAN,UniProt ID not found,,,,
C9K4X7_HUMAN,UniProt ID not found,,,,
F2Z2E0_HUMAN,UniProt ID not found,,,,
Q9UFD3_HUMAN,UniProt ID not found,,,,
Q86TD1_HUMAN,UniProt ID not found,,,,
Q68CW0_HUMAN,UniProt ID not found,,,,
Q9UG85_HUMAN,UniProt ID not found,,,,
Q68D33_HUMAN,UniProt ID not found,,,,
Q5HYD8_HUMAN,UniProt ID not found,,,,
A0A590UJT7_HUMAN,UniProt ID not found,,,,
A6XP74_HUMAN,UniProt ID not found,,,,
I6QYW0_HUMAN,UniProt ID not found,,,,
A0A590UJ78_HUMAN,UniProt ID not found,,,,
R4S1C5_HUMAN,UniProt ID not found,,,,
R4SCP5_HUMAN,UniProt ID not found,,,,
R4RYY7_HUMAN,UniProt ID not found,,,,
R4RYZ7_HUMAN,UniProt ID not found,,,,
R4SCC4_HUMAN,UniProt ID not found,,,,
R4SCF3_HUMAN,UniProt ID not found,,,,
R4RZ18_HUMAN,UniProt ID not found,,,,
EGLN1_HUMAN,UniProt ID not found,,,,
R4SCQ0_HUMAN,UniProt ID not found,,,,
A0A0C4DGR4_HUMAN,UniProt ID not found,,,,
EGLN2_HUMAN,UniProt ID not found,,,,
EGLN3_HUMAN,UniProt ID not found,,,,
A6XP73_HUMAN,UniProt ID not found,,,,
Q3T1B0_HUMAN,UniProt ID not found,,,,
F8W1G2_HUMAN,UniProt ID not found,,,,
G3V3M1_HUMAN,UniProt ID not found,,,,
Q1RLM6_HUMAN,UniProt ID not found,,,,
A0A1B0GTY1_HUMAN,UniProt ID not found,,,,
A0A1B0GU26_HUMAN,UniProt ID not found,,,,
A0A1B0GV98_HUMAN,UniProt ID not found,,,,
A0A1B0GTC3_HUMAN,UniProt ID not found,,,,
A0A1B0GTC5_HUMAN,UniProt ID not found,,,,
A0A1B0GVH5_HUMAN,UniProt ID not found,,,,
A0A1B0GTI3_HUMAN,UniProt ID not found,,,,
A0A1B0GUC3_HUMAN,UniProt ID not found,,,,
FTO_HUMAN,UniProt ID not found,,,,
Q2TU84_HUMAN,UniProt ID not found,,,,
A0A804HKE0_HUMAN,UniProt ID not found,,,,
A0A804HJD7_HUMAN,UniProt ID not found,,,,
Q14400_HUMAN,UniProt ID not found,,,,
DHE3_HUMAN,UniProt ID not found,,,,
E9KL48_HUMAN,UniProt ID not found,,,,
Q9BSD0_HUMAN,UniProt ID not found,,,,
DHE4_HUMAN,UniProt ID not found,,,,
AATC_HUMAN,UniProt ID not found,,,,
AATC2_HUMAN,UniProt ID not found,,,,
AATM_HUMAN,UniProt ID not found,,,,
ALAT1_HUMAN,UniProt ID not found,,,,
H3BU54_HUMAN,UniProt ID not found,,,,
ALAT2_HUMAN,UniProt ID not found,,,,
B4DW13_HUMAN,UniProt ID not found,,,,
V9HW78_HUMAN,UniProt ID not found,,,,
